(59.719357432226225, 69.17283748622536)
(59.72169391029376, 69.17823664831343)
(59.723671105652286, 69.18354569387803)
(59.725432626473186, 69.18881858886127)
(59.71507637458228, 69.17788149418674)
(59.717458114925435, 69.18287169493863)
(59.71355781638611, 69.17188328489993)
(59.74991799237553, 69.05626524137124)
(59.75047167609874, 69.06299248999045)
(59.75045040599116, 69.0695586136284)
(59.750051499571256, 69.07640857883227)
(59.74929309736327, 69.08318631161204)
(59.74846248450079, 69.08999913063155)
(59.747272321522324, 69.09682836514125)
(59.727245023330596, 69.05489349677057)
(59.72601696759927, 69.04946812703109)
(59.75518668528569, 69.07836017692883)
(59.7561065288889, 69.07147470199314)
(59.75612811381253, 69.06446253272968)
(59.75587992911413, 69.05746768911442)
(59.75388497760978, 69.0917221588915)
(59.75470651548101, 69.08519300366473)
(59.72085907010962, 69.05820766440993)
(59.72034957845744, 69.05264211095103)
(59.6712843584139, 69.13028567943768)
(59.66813145776023, 69.1220015470845)
(59.678760293964025, 69.09295507394775)
(59.70807123899677, 69.0911880394066)
(59.70275560118776, 69.07662063399017)
(59.70525623408282, 69.08428543127313)
(59.64016193596173, 68.98884401391061)
(59.636641552168406, 68.98558208729752)
(59.633632915244995, 68.982196446172)
(59.632493575212514, 68.9944321449549)
(59.63067047742681, 68.99079757921484)
(59.64688764536794, 68.98745809150327)
(59.67778671461045, 68.94941331714016)
(59.69547341724601, 68.94148108538079)
(59.71672259316119, 68.98572541783324)
(59.68189647094251, 68.94226835855248)
(59.71280560155782, 68.97367598246383)
(59.68722025349029, 68.93964834140657)
(59.69895798590581, 68.94250550065844)
(59.71516828707074, 68.97948679449819)
(59.69139420297499, 68.93624807185624)
(59.69328464167236, 68.97829221532041)
(59.689675137860675, 68.98039049424983)
(59.68623609617257, 68.98163573288046)
(59.69854849413292, 68.99697962152207)
(59.69503745766973, 68.99790372143447)
(59.69114926730963, 68.9989875082175)
(59.67626887458923, 68.98348772016057)
(59.673633264401424, 69.134040839634)
(59.665164742387645, 69.13466376360303)
(59.67656626220812, 69.13730177435801)
(59.661539255101104, 69.13237756444845)
(59.66575003889582, 69.1416594542232)
(59.6689893128531, 69.14387428239091)
(59.67168825774663, 69.14743639619891)
