6620170	509722
6620431	510025
6620652	510323
6620849	510619
6619694	510007
6619960	510287
6619524	509670
6623562	503162
6623624	503540
6623622	503909
6623578	504294
6623494	504675
6623402	505058
6623270	505442
6621037	503087
6620900	502782
6624150	504403
6624252	504016
6624254	503622
6624226	503229
6624006	505154
6624097	504787
6620326	503274
6620269	502961
6614811	507339
6614459	506873
6615640	505235
6618904	505131
6618311	504312
6618590	504743
6611338	499371
6610946	499187
6610611	498996
6610484	499686
6610281	499481
6612087	499293
6615529	497151
6617499	496706
6619864	499197
6615987	496749
6619428	498519
6616580	496602
6617887	496764
6619691	498846
6617045	496411
6617254	498778
6616852	498896
6616469	498966
6617840	499830
6617449	499882
6617016	499943
6615359	499070
6615073	507550
6614130	507587
6615400	507733
6613726	507459
6614196	507981
6614557	508105
6614858	508305
